"Data","Study","sample_ids","GEO.series.accession.or.data.source","GEO.sample.accession.or.dataset.name","Author.described.protocol","Protocol.classification.region","Original.protocol.cited","Batch.variable","Age","Condition","Donor.ID..cell.line","Sequencing.platform","Normalization.of.available.data","Normalization.for.this.study","unprocessed_seurat_path","processed_seurat_path","pre_qc_cell_number","post_qc_cell_number","mean_mito","median_mito","mean_feature","median_feature","mean_count","median_count","dividing_cons_coexp_metric","intProg_cons_coexp_metric","nProg_cons_coexp_metric","glut_cons_coexp_metric","gaba_cons_coexp_metric","nonN_cons_coexp_metric","micro_cons_coexp_metric","egad_auc_gaba_markers","egad_auc_glut_markers","egad_auc_nonN_markers","egad_auc_intProg_markers","egad_auc_divProg_markers","egad_auc_nProg_markers","egad_auc_micro_markers","go_nProg_missing_ratio","go_nProg_no_exp_ratio","go_nProg_mean_counts","go_nProg_median_counts","go_divProg_missing_ratio","go_divProg_no_exp_ratio","go_divProg_mean_counts","go_divProg_median_counts","go_intProg_missing_ratio","go_intProg_no_exp_ratio","go_intProg_mean_counts","go_intProg_median_counts","go_glut_missing_ratio","go_glut_no_exp_ratio","go_glut_mean_counts","go_glut_median_counts","go_gaba_missing_ratio","go_gaba_no_exp_ratio","go_gaba_mean_counts","go_gaba_median_counts","go_nonN_missing_ratio","go_nonN_no_exp_ratio","go_nonN_mean_counts","go_nonN_median_counts","go_micro_missing_ratio","go_micro_no_exp_ratio","go_micro_mean_counts","go_micro_median_counts","treatment","genome_cons_coexp_score"
"organoid","Uzquiano et al. 2022","uzquiano_1","https://singlecell.broadinstitute.org/single_cell/study/SCP1756/cortical-organoids-atlas","","dorsal patterned forebrain","directed dorsal forebrain","Modified from Kadoshima et al. 2013","Cell line/Age/Batch","month_1_5","Normal","Mito210c1","scRNA-seq 10X","raw counts","CPM",NA,"/home/werner/projects/meta_qc_organoid/data/seurat_objs/individual/organoids/arlotta_org_1_5month_batch1_processed.Rdata",18083,18076,0.0582600136914741,0.0561981856081138,1925.18377959726,1841,4766.82955299845,4271.5,0.999746754606825,0.861011079696849,0.951081937770135,0.929883791428758,0.773490015938858,0.79995089177824,0.53397723672024,0.704869288618945,0.859111617926156,0.816563717171717,0.787136961449555,0.894192152092254,0.938452288595811,0.692577441812916,0,0,7471.53947368421,1879.5,0,0,5822.9898989899,3218,0,0,2494.44303797468,552,0,0.0108695652173913,5415.19565217391,1740,0,0.0120481927710843,1010.48192771084,211,0,0.0266666666666667,1746.77333333333,240,0,0.181818181818182,2058.67676767677,37,"Normal",0.743828983195579
"","Uzquiano et al. 2022","uzquiano_2","","","dorsal patterned forebrain","directed dorsal forebrain","Modified from Kadoshima et al. 2013","Cell line/Age/Batch","month_1_5","Normal","PGP1","scRNA-seq 10X","raw counts","CPM",NA,"/home/werner/projects/meta_qc_organoid/data/seurat_objs/individual/organoids/arlotta_org_1_5month_batch2_processed.Rdata",20491,20484,0.0488353134877423,0.0481245037211735,1734.02138254247,1662,4200.03285491115,3814,0.999743288167088,0.857059643386597,0.948659915897337,0.928513314153499,0.718822353069293,0.794780865838529,0.535651087705319,0.663336680684824,0.852434868875086,0.790674747474747,0.778493171636084,0.923102683551206,0.947040341349884,0.692777981259123,0,0,6640.61842105263,1759,0,0,5388.25252525253,2881,0,0.0126582278481013,2402.26582278481,614,0,0.0108695652173913,5470.05434782609,1547.5,0,0.0120481927710843,900.409638554217,146,0,0.0133333333333333,1757.38666666667,261,0,0.141414141414141,2099.43434343434,53,"Normal",0.734681885494007
"","Uzquiano et al. 2022","uzquiano_3","","","dorsal patterned forebrain","directed dorsal forebrain","Modified from Kadoshima et al. 2013","Cell line/Age/Batch","month_1 ","Normal","batch_1","scRNA-seq 10X","raw counts","CPM",NA,"/home/werner/projects/meta_qc_organoid/data/seurat_objs/individual/organoids/arlotta_org_1month_batch1_processed.Rdata",18875,18654,0.0331167962061126,0.0304837402431642,1397.88817411815,1185,3789.79184089203,2588,0.999697296811705,0.782567603037387,0.919059072835552,0.886571418964499,0.71679444347063,0.826938211932267,0.507537577915557,0.723162654335958,0.889592499137336,0.769320080808081,0.726577586453441,0.786221518127736,0.792577902767003,0.620364118835067,0,0.0131578947368421,5510.71052631579,1000.5,0,0,5059.68686868687,2159,0,0.0126582278481013,1461.63291139241,270,0,0,1832.54347826087,379,0,0,503.253012048193,133,0,0.0266666666666667,1388.12,197,0,0.181818181818182,3079.69696969697,46,"Normal",0.712509664988022
"","Uzquiano et al. 2022","uzquiano_4","","","dorsal patterned forebrain","directed dorsal forebrain","Modified from Kadoshima et al. 2013","Cell line/Age/Batch","month_1 ","Normal","Mito210c1","scRNA-seq 10X","raw counts","CPM",NA,"/home/werner/projects/meta_qc_organoid/data/seurat_objs/individual/organoids/arlotta_org_1month_batch2_processed.Rdata",26702,26474,0.0576506043728751,0.057714816974571,2717.00940545441,2754,7936.55930346755,7405.5,0.999752173970358,0.869416176027009,0.929115872660529,0.932055419073778,0.805652907924414,0.83221531570722,0.513356900241235,0.772066321871499,0.88149963336784,0.815268202020202,0.749369885565996,0.897688599013777,0.845974915955521,0.733590700461241,0,0,22157.2236842105,3830.5,0,0,14295.8888888889,7515,0,0,4881.51898734177,1495,0,0,9044.19565217391,2077.5,0,0,2795.1686746988,666,0,0,4706.8,967,0,0.0505050505050505,8018.52525252525,236,"Normal",0.769024706470777
"","Uzquiano et al. 2022","uzquiano_5","","","dorsal patterned forebrain","directed dorsal forebrain","Modified from Kadoshima et al. 2013","Cell line/Age/Batch","month_1","Normal","Mito210c1","scRNA-seq 10X","raw counts","CPM",NA,"/home/werner/projects/meta_qc_organoid/data/seurat_objs/individual/organoids/arlotta_org_1month_batch3_processed.Rdata",13833,13620,0.07373571474571,0.0694208464910718,2805.53612334802,2867,8720.6013215859,8315.5,0.999658726566745,0.845921302275838,0.923859392608836,0.936301032684876,0.815957900915858,0.798599320089581,0.508013920440814,0.770217793418712,0.910753375172533,0.812638707070707,0.762610681916244,0.905877374786651,0.856604926299457,0.596039762706429,0,0.0131578947368421,12444.8552631579,1982.5,0,0,10556.3434343434,5925,0,0,3050.10126582278,672,0,0,4671.54347826087,1124,0,0,1301.69879518072,301,0,0.0133333333333333,2515.73333333333,318,0,0.181818181818182,3480.62626262626,45,"Normal",0.753217503968946
"","Uzquiano et al. 2022","uzquiano_6","","","dorsal patterned forebrain","directed dorsal forebrain","Modified from Kadoshima et al. 2013","Cell line/Age/Batch","month_1","Normal","Mito210c1","scRNA-seq 10X","raw counts","CPM",NA,"/home/werner/projects/meta_qc_organoid/data/seurat_objs/individual/organoids/arlotta_org_1month_batch4_processed.Rdata",11962,11823,0.106539608445784,0.101722937695788,2645.4868476698,2555,8278.82652457075,7158,0.999738942911643,0.84661729372485,0.9344340750615,0.926351537363901,0.792785468326979,0.836917460164016,0.523125766827734,0.77766400375574,0.900201647688061,0.842128808080808,0.76068956341494,0.918759460043864,0.866611068011378,0.696404362051661,0,0,8334.32894736842,1828,0,0,6822.63636363636,3606,0,0,2453.05063291139,663,0,0.0108695652173913,3586.82608695652,860.5,0,0.0120481927710843,1156.34939759036,269,0,0.0133333333333333,2038.90666666667,345,0,0.171717171717172,3562.52525252525,58,"Normal",0.755678307313065
"","Uzquiano et al. 2022","uzquiano_7","","","dorsal patterned forebrain","directed dorsal forebrain","Modified from Kadoshima et al. 2013","Cell line/Age/Batch","day_23","Normal","Mito210c1","scRNA-seq 10X","raw counts","CPM",NA,"/home/werner/projects/meta_qc_organoid/data/seurat_objs/individual/organoids/arlotta_org_23days_batch1_processed.Rdata",9831,9735,0.0692897751380993,0.0656991787602655,1605.64930662558,1470,5415.43800719055,4126,0.999590813641759,0.826139525009009,0.891625348837801,0.886379130266661,0.74256141002698,0.798975300884528,0.525081815301256,0.699333583636182,0.860753644755003,0.713546343434343,0.75404802671909,0.854945748931478,0.795215283165244,0.717828741274205,0,0.0131578947368421,3681.23684210526,517.5,0,0,2106.35353535354,986,0,0,768.822784810127,278,0,0.0108695652173913,3146.29347826087,388,0,0.036144578313253,779.469879518072,156,0,0,1311.66666666667,208,0,0.202020202020202,2568.64646464646,50,"Normal",0.723768779203773
"","Uzquiano et al. 2022","uzquiano_8","","","dorsal patterned forebrain","directed dorsal forebrain","Modified from Kadoshima et al. 2013","Cell line/Age/Batch","day_23","Normal","PGP1","scRNA-seq 10X","raw counts","CPM",NA,"/home/werner/projects/meta_qc_organoid/data/seurat_objs/individual/organoids/arlotta_org_23days_batch2_processed.Rdata",19905,19792,0.0552860603906459,0.0511565419090062,1973.00227364592,1799,5565.14157235247,4620.5,0.999648327247535,0.820457302877882,0.8751706347894,0.912402515934744,0.755173402780245,0.780469105966133,0.523262764431985,0.68447379814213,0.893648636991028,0.745948444444444,0.793469191849484,0.808702039079205,0.72884762089475,0.752800320078608,0,0.0131578947368421,9182.07894736842,2441,0,0,5667.31313131313,2964,0,0.0253164556962025,2076.67088607595,590,0,0,2754.39130434783,702,0,0.0120481927710843,1760.12048192771,233,0,0,2779.25333333333,658,0,0.111111111111111,4782.0404040404,175,"Normal",0.739692452032318
"","Uzquiano et al. 2022","uzquiano_9","","","dorsal patterned forebrain","directed dorsal forebrain","Modified from Kadoshima et al. 2013","Cell line/Age","month_2","Normal","Mito210c1","scRNA-seq 10X","raw counts","CPM",NA,"/home/werner/projects/meta_qc_organoid/data/seurat_objs/individual/organoids/arlotta_org_2month_batch1_processed.Rdata",16561,16540,0.0468540634507839,0.0441544701660096,2353.55266021765,2430,6232.3284764208,6036.5,0.999416856954679,0.846165882805698,0.974362361387058,0.919785981628549,0.697208283081575,0.880616430631414,0.510417334932778,0.638142022315278,0.83821681978951,0.860534626262626,0.724493266137706,0.937315487774203,0.961395461598138,0.653177324431147,0,0.0131578947368421,7016.15789473684,1119.5,0,0,3648.42424242424,1915,0,0,2786.41772151899,687,0,0.0108695652173913,9737.11956521739,2522,0,0.036144578313253,1226.20481927711,180,0,0.0133333333333333,1741.49333333333,244,0,0.191919191919192,3701.75757575758,49,"Normal",0.731242538976697
"","Uzquiano et al. 2022","uzquiano_10","","","dorsal patterned forebrain","directed dorsal forebrain","Modified from Kadoshima et al. 2013","Cell line/Age","month_2","Normal","PGP1","scRNA-seq 10X","raw counts","CPM",NA,"/home/werner/projects/meta_qc_organoid/data/seurat_objs/individual/organoids/arlotta_org_2month_batch2_processed.Rdata",22738,22737,0.0444621860610211,0.044685172647258,1846.99696529885,1811,3968.9167876149,3704,0.999784055451318,0.856133877783767,0.97147581603242,0.923446874730743,0.695464530071565,0.873595888314241,0.53698627729272,0.566968287587194,0.828915146221532,0.877464242424242,0.782190236738998,0.936656992722232,0.954973816912335,0.662438667535508,0,0.0131578947368421,6151.3552631579,1577,0,0,3421.39393939394,1772,0,0.0379746835443038,2453.44303797468,546,0,0.0108695652173913,8628.69565217391,3161,0,0.0240963855421687,998.518072289157,171,0,0.0133333333333333,2014.74666666667,311,0,0.181818181818182,2035.25252525253,42,"Normal",0.732682439243426
