cluster,class,subclass,region,name_fig2,Linnarson_cluster_top3
0,neuron,neuron.gaba,forebrain,NA,Neuron_Diencephalon_505;Neuron_Telencephalon_492;Neuron_Forebrain_367
1,neuron,neuron.mixed,midbrain,mixed neurons,Neuron_Pons_439;Neuron_Midbrain_414;Neuron_Diencephalon_500
2,progenitor,progenitor,forebrain,NA,Radial.glia_Telencephalon_181;Glioblast_Forebrain_183;Glioblast_Telencephalon_173
3,oligo,oligo,non-specific,NA,Oligo_Midbrain_614;Oligo_Medulla_613;Oligo_Pons_611
4,progenitor,progenitor,forebrain,Cortical hem,Glioblast_Telencephalon_57;Radial.glia_Forebrain_64;Radial.glia_Telencephalon_60
5,neuron,neuron.gaba,hindbrain,GABA CB,Neuron_Hindbrain_526;Neuron_Cerebellum_527;Neuron_Cerebellum_510
6,neuron,neuron.glut2,forebrain,CR neurons,Neuron_Telencephalon_474;Neuroblast_Telencephalon_471;Neuroblast_Telencephalon_469
7,oligo,oligo,non-specific,Oligo mature,Oligo_Telencephalon_609;Oligo_Telencephalon_610;Oligo_Telencephalon_615
8,astroglia,astroglia,non-specific,Astroglia,Glioblast_Cerebellum_12;Radial.glia_Brain_126;Glioblast_Midbrain_16
9,neuron,neuron.glut1,forebrain,vGlut-1/2 Telencephalon,Neuron_Telencephalon_313;Neuron_Forebrain_314;Neuron_Telencephalon_323
10,neuron,neuron.gaba,forebrain,Forebrain NKX2-1+ GABA,Neuron_Diencephalon_444;Neuron_Diencephalon_506;Neuron_Diencephalon_443
11,progenitor,progenitor,midbrain,NA,Radial.glia_Midbrain_121;Radial.glia_Diencephalon_125;Radial.glia_Midbrain_124
12,IPC,IPC,forebrain,NA,Neuroblast_Telencephalon_304;Neuroblast_Telencephalon_305;Neuroblast_Telencephalon_224
13,neuron,neuron.gaba,forebrain,Forebrain NKX2-1+ GABA,Neuron_Diencephalon_444;Neuron_Diencephalon_506;Neuron_Diencephalon_507
14,neuron,neuron.glut2,forebrain,NA,Neuron_Telencephalon_476;Neuron_Diencephalon_475;Neuroblast_Diencephalon_478
15,neuron,neuron.glut1,forebrain,vGlut-1/2 Telencephalon,Neuron_Telencephalon_310;Neuron_Telencephalon_313;Neuron_Telencephalon_323
16,progenitor,progenitor,forebrain,Thalamic prog.,Radial.glia_Diencephalon_73;Radial.glia_Diencephalon_82;Radial.glia_Diencephalon_80
17,astroglia,astroglia,non-specific,Astroglia,Glioblast_Midbrain_31;Radial.glia_Pons_128;Radial.glia_Midbrain_127
18,choroid,choroid,forebrain,Choroid/Ependymal,Glioblast_Telencephalon_34;Radial.glia_Forebrain_58;Radial.glia_Diencephalon_53
19,choroid,choroid,forebrain,Choroid/Ependymal,Radial.glia_Telencephalon_60;Radial.glia_Forebrain_64;Glioblast_Telencephalon_57
20,neuron,neuron.glut2,midbrain,vGlut-2 MB,Neuron_Diencephalon_395;Neuroblast_Midbrain_394;Neuroblast_Midbrain_392
21,neuron,neuron.glut2,forebrain,vGlut-1/2 Telencephalon,Neuroblast_Telencephalon_486;Neuron_Telencephalon_477;Neuron_Telencephalon_480
22,neuron,neuron.gaba,forebrain,Forebrain MEIS2+ GABA,Neuron_Diencephalon_442;Neuron_Diencephalon_329;Neuron_Diencephalon_332
23,neuron,neuron.glut1,forebrain,vGlut-1/2 Telencephalon,Neuroblast_Forebrain_298;Neuron_Telencephalon_484;Neuroblast_Telencephalon_483
24,IPC,IPC,forebrain,Telencephalon prog.,Neuronal.IPC_Telencephalon_231;Neuronal.IPC_Telencephalon_225;Neuronal.IPC_Telencephalon_229
25,progenitor,progenitor,forebrain,Cortical hem,Glioblast_Telencephalon_57;Radial.glia_Forebrain_64;Radial.glia_Forebrain_58
26,oligo,OPC,non-specific,OPC,Oligo_Medulla_612;Oligo_Telencephalon_616;Oligo_Telencephalon_615
27,progenitor,progenitor,forebrain,Telencephalon prog.,Radial.glia_Telencephalon_157;Radial.glia_Telencephalon_155;Radial.glia_Telencephalon_177
28,progenitor,progenitor,forebrain,prog_telencephalon_c28,Radial.glia_Telencephalon_181;Glioblast_Forebrain_183;Glioblast_Telencephalon_173
29,neuron,neuron.glut2,midbrain,NA,Neuroblast_Midbrain_219;Neuroblast_Forebrain_391;Neuron_Hindbrain_459
30,neuron,neuron.glut2,forebrain,vGlut-2 Thal,Neuron_Telencephalon_476;Neuroblast_Forebrain_472;Neuroblast_Diencephalon_478
31,neuron,neuron.glut1,forebrain,vGlut-1/2 Telencephalon,Neuroblast_Telencephalon_293;Neuron_Telencephalon_294;Neuroblast_Telencephalon_292
32,progenitor,progenitor,forebrain,Cortical hem,Neuroblast_Forebrain_472;Neuron_Telencephalon_476;Neuroblast_Diencephalon_478
33,progenitor,progenitor,non-specific,NA,Radial.glia_Brain_122;Radial.glia_Pons_135;Radial.glia_Midbrain_88
34,neuron,neuron.glut2,forebrain,NA,Neuron_Telencephalon_476;Neuroblast_Forebrain_472;Neuroblast_Diencephalon_478
35,neuron,neuron.glut2,midbrain,vGlut-2 MB,Neuron_Midbrain_406;Neuron_Cerebellum_599;Neuron_Cerebellum_598
36,neuron,neuron.dop,midbrain,Dop. MB,Neuroblast_Diencephalon_389;Neuron_Diencephalon_388;Neuron_Diencephalon_387
37,progenitor,progenitor,hindbrain,Hindbrain prog.,Radial.glia_Cerebellum_109;Glioblast_Cerebellum_112;Neuroblast_Cerebellum_113
