p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,2.012062387,0.821,0.362,0,0,KCNIP4
0,0.900158781,0.797,0.417,0,0,CELF4
0,0.870785688,1,0.966,0,0,SNHG14
0,0.837019247,0.991,0.875,0,0,LINC00632
0,0.813355085,0.863,0.497,0,0,XKR4
0,0.795852206,0.996,0.772,0,0,ANK3
8.72E-295,0.757264068,0.962,0.664,2.61E-290,0,DSCAM
1.88E-285,0.745301492,0.994,0.831,5.62E-281,0,FAM155A
4.18E-267,0.729684314,0.856,0.528,1.25E-262,0,CACNA1B
4.97E-266,0.591898049,0.446,0.159,1.49E-261,0,STXBP5-AS1
5.62E-264,0.691793015,0.731,0.403,1.68E-259,0,UNC13A
4.91E-255,0.726640825,0.872,0.54,1.47E-250,0,NRG1
1.55E-247,0.693881597,0.861,0.559,4.64E-243,0,GABRB3
3.14E-239,0.711465199,0.882,0.573,9.38E-235,0,FGF14
4.15E-224,0.771176349,0.683,0.372,1.24E-219,0,DPYD
1.09E-219,0.525756414,0.392,0.141,3.25E-215,0,SCN9A
2.87E-219,0.739583918,0.835,0.536,8.59E-215,0,TENM2
1.19E-218,0.751231509,0.653,0.341,3.54E-214,0,SYN3
3.28E-217,0.693544673,0.757,0.438,9.81E-213,0,DLGAP2
1.94E-216,0.647738273,0.809,0.522,5.81E-212,0,MAPT
5.85E-213,0.592356838,0.666,0.362,1.75E-208,0,SRRM3
1.03E-209,0.626593616,0.706,0.409,3.09E-205,0,SCN3A
1.02E-203,0.607196496,0.546,0.266,3.06E-199,0,ATP1A3
4.00E-199,0.647744662,0.71,0.405,1.20E-194,0,STMN2
6.40E-198,0.576123575,0.991,0.879,1.91E-193,0,ANK2
8.00E-197,0.445642055,0.376,0.141,2.39E-192,0,NEURL1
1.14E-195,0.580970974,0.902,0.638,3.40E-191,0,RIMS2
2.24E-195,0.670827199,0.593,0.293,6.70E-191,0,RALYL
1.16E-192,0.469611399,0.397,0.158,3.47E-188,0,ABLIM2
2.19E-192,0.565524039,0.909,0.712,6.55E-188,0,XKR6
2.21E-192,0.496072424,0.986,0.785,6.60E-188,0,CCSER1
2.41E-191,0.54224507,0.353,0.129,7.22E-187,0,LINC01322
1.05E-188,0.526531074,0.548,0.272,3.14E-184,0,SCN3B
1.03E-185,0.520551602,0.367,0.142,3.08E-181,0,CXorf57
7.23E-182,0.48863246,0.412,0.171,2.16E-177,0,RASGRF1
7.12E-178,0.526294139,0.584,0.312,2.13E-173,0,BICDL1
7.45E-178,0.530398984,0.913,0.681,2.23E-173,0,PCLO
2.03E-176,0.601237275,0.637,0.36,6.07E-172,0,AGBL4
1.79E-175,0.560702632,0.77,0.491,5.34E-171,0,NMNAT2
3.78E-175,0.782714783,0.669,0.407,1.13E-170,0,ZFHX3
1.80E-171,0.53021652,0.526,0.268,5.39E-167,0,KSR2
3.48E-170,0.586455329,0.598,0.327,1.04E-165,0,POU2F2
1.16E-168,0.53008995,0.549,0.292,3.47E-164,0,SPTBN4
2.46E-168,0.562952016,0.859,0.638,7.36E-164,0,SGIP1
3.84E-166,0.516546038,0.529,0.269,1.15E-161,0,SCN2A
1.36E-164,0.535133324,0.912,0.648,4.07E-160,0,PPFIA2
2.79E-164,0.537008705,0.884,0.647,8.35E-160,0,NEBL
1.36E-160,0.459491624,0.417,0.186,4.06E-156,0,CHD5
2.09E-160,0.531280621,0.859,0.665,6.24E-156,0,DANT2
1.78E-159,0.502790129,0.558,0.303,5.33E-155,0,SYP
2.50E-159,0.547539716,0.569,0.308,7.47E-155,0,EML6
2.42E-156,0.473835267,0.384,0.161,7.23E-152,0,GLRA2
3.72E-156,0.642043269,0.541,0.306,1.11E-151,0,MEST
3.16E-155,0.471621348,0.405,0.175,9.45E-151,0,GALNTL6
1.44E-152,0.45457179,0.981,0.919,4.30E-148,0,CAMTA1
3.57E-152,0.503523473,0.525,0.283,1.07E-147,0,MCF2L2
4.15E-152,0.394626561,0.353,0.146,1.24E-147,0,PTPRN
4.21E-152,0.478149403,0.949,0.712,1.26E-147,0,PTPRN2
6.34E-150,0.480749948,0.518,0.267,1.90E-145,0,NALCN
1.06E-149,0.81041791,0.379,0.166,3.18E-145,0,CNTN5
2.23E-149,0.552315298,0.398,0.178,6.66E-145,0,ALK
2.27E-149,0.69449363,0.56,0.303,6.78E-145,0,ASIC2
4.33E-149,0.63491697,0.516,0.284,1.29E-144,0,AC245060.5
2.68E-148,0.673252798,0.554,0.298,8.01E-144,0,PCDH15
9.97E-148,0.493046541,0.898,0.68,2.98E-143,0,ERC2
3.98E-146,0.591541587,0.535,0.28,1.19E-141,0,CNTNAP5
4.14E-145,0.553292993,0.857,0.627,1.24E-140,0,AC233296.1
1.14E-144,0.708805287,0.474,0.238,3.41E-140,0,MGAT4C
2.23E-143,0.3742224,0.3,0.115,6.68E-139,0,VGF
4.20E-143,0.484554602,0.777,0.512,1.26E-138,0,UNC79
8.76E-143,0.534332208,0.347,0.149,2.62E-138,0,CAMK2A
1.27E-142,0.460424115,0.675,0.399,3.79E-138,0,CNTN1
3.86E-142,0.353450132,0.317,0.127,1.16E-137,0,IQSEC3
1.14E-140,0.483105626,0.716,0.457,3.41E-136,0,KCNMA1
1.19E-140,0.422020369,0.304,0.12,3.55E-136,0,TOX2
6.48E-140,0.471272765,0.56,0.309,1.94E-135,0,RAB3C
2.32E-139,0.3964966,0.361,0.158,6.93E-135,0,TMEM130
1.74E-138,0.289802628,0.236,0.079,5.20E-134,0,SLC6A17
1.75E-137,0.495014465,0.908,0.767,5.22E-133,0,RABGEF1
6.89E-137,0.487388074,0.566,0.303,2.06E-132,0,NKAIN2
7.72E-137,0.569117429,0.962,0.888,2.31E-132,0,PDE10A
8.65E-137,0.50412121,0.627,0.395,2.59E-132,0,CELF5
1.08E-136,0.490924146,0.294,0.114,3.22E-132,0,SLC35F4
3.32E-133,0.460891382,0.871,0.723,9.94E-129,0,SNRPN
5.22E-133,0.250654573,0.183,0.052,1.56E-128,0,CNGB1
1.54E-132,0.393112576,0.38,0.175,4.60E-128,0,PPP2R2C
1.57E-129,0.438395271,0.813,0.515,4.69E-125,0,MYT1L
3.02E-129,0.476054302,0.919,0.732,9.02E-125,0,CACNA1C
1.55E-127,0.484151162,0.653,0.408,4.65E-123,0,ATP8A2
2.95E-127,0.404474831,0.976,0.875,8.83E-123,0,DLG2
1.50E-126,0.525954017,0.46,0.234,4.49E-122,0,LUZP2
3.47E-126,0.356586797,0.392,0.185,1.04E-121,0,ABLIM3
7.10E-126,0.619137479,0.588,0.385,2.12E-121,0,COPG2
1.82E-124,0.466478044,0.863,0.709,5.45E-120,0,DPYSL2
2.23E-122,0.378409406,0.382,0.183,6.66E-118,0,SVOP
6.67E-122,0.453439451,0.412,0.198,1.99E-117,0,MIR137HG
1.29E-121,0.485519945,0.869,0.684,3.86E-117,0,KCNQ1OT1
9.55E-120,0.432542163,0.455,0.241,2.86E-115,0,CACNA1D
8.84E-116,0.453883477,0.852,0.674,2.64E-111,0,SHANK2
2.24E-115,0.471688685,0.887,0.699,6.70E-111,0,MACROD2
3.55E-114,0.341396596,0.279,0.114,1.06E-109,0,LINC02223
1.05E-113,0.491387915,0.705,0.482,3.14E-109,0,RIMS1
1.23E-113,0.392853244,0.777,0.541,3.67E-109,0,CACNA1A
4.52E-113,0.43637305,0.611,0.365,1.35E-108,0,KCNB2
2.01E-112,0.39743625,0.479,0.27,6.02E-108,0,MAST1
3.82E-112,0.448127609,0.538,0.33,1.14E-107,0,EPB41L1
1.28E-111,0.427180243,0.38,0.183,3.82E-107,0,PTPRT
6.92E-111,0.530734523,0.638,0.417,2.07E-106,0,NEGR1
1.47E-110,0.519983204,0.719,0.523,4.41E-106,0,CSRNP3
7.33E-110,0.272230619,0.235,0.089,2.19E-105,0,TMEM179
9.25E-110,0.409911688,0.623,0.386,2.77E-105,0,CACNB2
1.41E-109,0.514372078,0.669,0.485,4.21E-105,0,AHI1
1.01E-108,0.42300893,0.608,0.375,3.02E-104,0,SRRM4
1.63E-108,0.362533834,0.901,0.694,4.88E-104,0,DAB1
5.42E-106,0.372489593,0.376,0.189,1.62E-101,0,L1CAM
5.45E-106,0.457353187,0.681,0.491,1.63E-101,0,NRXN2
4.00E-104,0.386199629,0.356,0.173,1.20E-99,0,MTUS2
1.21E-103,0.435416806,0.648,0.431,3.63E-99,0,GAP43
2.08E-103,0.369914829,0.422,0.229,6.21E-99,0,CAMK2B
3.73E-103,0.419428431,0.948,0.845,1.12E-98,0,TANC2
1.52E-100,0.314517494,0.34,0.165,4.53E-96,0,PPFIA3
2.27E-100,0.286734156,0.284,0.122,6.79E-96,0,KLHL1
8.37E-100,0.470540986,0.396,0.211,2.50E-95,0,SCG2
9.29E-99,0.474379524,0.777,0.598,2.78E-94,0,PPM1E
9.38E-99,0.301980252,0.916,0.692,2.80E-94,0,MDGA2
3.91E-97,0.631900572,0.815,0.661,1.17E-92,0,ROBO1
2.46E-94,0.350649924,0.296,0.135,7.37E-90,0,CNTNAP4
4.09E-94,0.259334393,0.277,0.122,1.22E-89,0,PLPPR4
1.00E-93,0.372249818,0.972,0.806,3.00E-89,0,CTNNA2
2.31E-93,0.526847092,0.799,0.597,6.89E-89,0,LRRTM4
2.36E-93,0.428978055,0.594,0.384,7.05E-89,0,FGF12
2.84E-93,0.376162285,0.393,0.214,8.49E-89,0,KCNB1
1.08E-92,0.446751617,0.653,0.48,3.24E-88,0,SOBP
1.31E-92,0.425416655,0.733,0.567,3.91E-88,0,TPST1
1.58E-92,0.267478966,0.233,0.094,4.72E-88,0,KCNC2
1.67E-92,0.407329332,0.502,0.296,4.99E-88,0,RYR2
2.74E-92,0.330349775,0.288,0.134,8.19E-88,0,NHSL2
1.79E-91,0.339110735,0.395,0.216,5.37E-87,0,CELF3
2.83E-91,0.354467214,0.278,0.126,8.45E-87,0,GABRB1
6.06E-91,0.400665436,0.77,0.597,1.81E-86,0,GNAO1
1.74E-90,0.388803178,0.845,0.693,5.22E-86,0,RTN3
2.47E-90,0.419619931,0.614,0.449,7.40E-86,0,ATP6V0A1
4.98E-90,0.649216144,0.519,0.336,1.49E-85,0,HS6ST3
5.28E-90,0.301028096,0.997,0.836,1.58E-85,0,NRXN1
6.45E-90,0.373414077,0.425,0.236,1.93E-85,0,GRM7
1.48E-89,0.362290626,0.361,0.193,4.41E-85,0,RIMBP2
1.83E-89,0.380216421,0.824,0.674,5.49E-85,0,TNRC6C
2.98E-89,0.394791271,0.535,0.348,8.93E-85,0,GNG4
1.01E-88,0.362487971,0.952,0.852,3.02E-84,0,TMEM178B
2.18E-88,0.376906612,0.807,0.619,6.51E-84,0,ELAVL3
3.43E-88,0.413632927,0.719,0.576,1.03E-83,0,USP11
1.31E-87,0.324140655,0.401,0.22,3.91E-83,0,SLC5A4-AS1
1.72E-87,0.374090462,0.448,0.271,5.16E-83,0,NDRG4
1.17E-86,0.327372378,0.249,0.111,3.51E-82,0,AC007938.3
2.83E-86,0.349149387,0.319,0.161,8.47E-82,0,TMEM196
9.37E-85,0.366014161,0.407,0.224,2.80E-80,0,GRM5
1.02E-83,0.326154552,0.413,0.233,3.07E-79,0,RUNDC3B
1.06E-83,0.315483797,0.279,0.129,3.16E-79,0,SPOCK3
1.26E-82,0.384403688,0.709,0.519,3.77E-78,0,ARFGEF3
3.79E-82,0.529988026,0.855,0.677,1.13E-77,0,PCDH9
4.78E-82,0.40050898,0.689,0.475,1.43E-77,0,KIRREL3
5.97E-82,0.297755759,0.944,0.763,1.78E-77,0,DCLK1
4.63E-81,0.38193375,0.879,0.732,1.39E-76,0,NOVA1
6.05E-81,0.741198627,0.626,0.476,1.81E-76,0,PEG10
6.96E-81,0.297490898,0.974,0.909,2.08E-76,0,DOCK3
1.05E-80,0.273266565,0.278,0.132,3.13E-76,0,PALM2
3.32E-80,0.335852823,0.44,0.26,9.94E-76,0,SYT16
3.42E-80,0.471006266,0.886,0.794,1.02E-75,0,PAM
3.62E-80,0.305542075,0.294,0.145,1.08E-75,0,AC024901.1
4.15E-80,0.374262636,0.477,0.294,1.24E-75,0,PRKCB
9.42E-79,0.393601727,0.38,0.21,2.82E-74,0,SLC35F3
2.22E-78,0.361778834,0.312,0.16,6.64E-74,0,LURAP1L-AS1
3.58E-78,0.383092195,0.637,0.449,1.07E-73,0,GRIN2B
